return_id,order_items_id,order_id,customer_id,return_date,return_reason,return_status,refund_amount,approved_by,notes
76,813,104,100,2025-07-14,Damaged product,Approved,3594.63,Carol Gonzalez,Wall catch because trip concern career.
77,1246,90,31,2026-03-21,Customer changed mind,Rejected,4985.2,John Matthews,Best take administration might court.
78,150,52,85,2025-06-08,Damaged product,Rejected,2206.26,Rhonda Hansen,Thought yet run.
79,990,343,8,2024-12-16,Defective product,Pending,2407.49,Nathaniel Taylor,Care recent probably research by protect.
80,889,422,82,2025-09-17,Damaged product,Approved,1259.85,Jon Jones,Help avoid specific black debate open.
81,36,307,25,2026-01-16,Wrong item,Approved,2418.82,Gregory Martin,Spend really color miss receive issue involve.
82,41,8,80,2025-08-24,Wrong item,Rejected,3783.92,Anna Collins,Maintain learn my chair soldier.
83,39,432,37,2026-04-13,Damaged product,Rejected,2034.93,Kristopher Dorsey,Order stand measure.
84,1074,274,18,2025-04-01,Damaged product,Rejected,729.63,Regina Stephens,Shake form test follow until value rock.
85,258,333,53,2025-12-14,Damaged product,Pending,4952.88,Lori Johnson,Sing concern home teacher whatever cultural important.
86,202,306,32,2026-04-12,Defective product,Rejected,4237.35,William Gutierrez,Author author important dark organization.
87,241,414,16,2024-12-29,Customer changed mind,Rejected,2157.38,Elizabeth Nichols,News economic pick development always town should.
88,866,21,45,2025-10-19,Defective product,Pending,3314.46,Olivia Williams,Wonder attention investment most citizen.
89,1009,403,16,2026-01-22,Defective product,Approved,591.02,Henry Jones,Business law not marriage read.
90,518,496,24,2026-05-02,Wrong item,Rejected,3085.17,Jill Trujillo,Beyond almost idea for.
91,1413,198,99,2024-11-04,Damaged product,Rejected,2978.73,David Green,Add lay likely power spend.
92,1254,119,29,2025-11-12,Customer changed mind,Approved,2439.06,Xavier Brewer,Opportunity son whatever check poor full.
93,581,59,45,2026-05-30,Wrong item,Pending,728.94,Eric Mendez,Perhaps station unit poor.
94,1172,327,72,2025-03-11,Wrong item,Approved,959.86,Samuel Buck,Include or management red second.
95,855,430,32,2026-05-19,Wrong item,Approved,4107.9,Sean Rogers,Great he lot tell simply hospital.
96,161,386,63,2024-11-04,Defective product,Rejected,3501.49,Matthew Torres,Exist dog information impact majority air.
97,836,244,70,2025-03-24,Defective product,Pending,3748.7,Jenna Wade,Computer mind million TV use.
98,582,212,97,2026-05-08,Defective product,Rejected,1517.92,Ashley Nguyen,Seem organization thousand how through.
99,546,341,12,2024-09-09,Customer changed mind,Approved,2746.08,Dustin Johnson,For enjoy news data serve response.
100,763,354,72,2025-08-20,Wrong item,Rejected,4697.62,Stephanie Lambert,Surface process management around teach.
101,1382,381,79,2026-05-09,Customer changed mind,Rejected,4487.12,Tonya Jones,Whether play possible hope leave message clearly.
102,302,255,38,2025-10-07,Damaged product,Pending,4341.59,Ryan Gutierrez,Feeling either trade.
103,434,466,99,2026-01-15,Customer changed mind,Approved,2855.97,Tiffany Chen,Officer finish race show brother season.
104,533,174,13,2024-10-18,Customer changed mind,Approved,3460.77,Pamela Garcia,Answer require board reveal dinner.
105,736,415,86,2025-03-31,Wrong item,Approved,4058.58,Richard Beard,Brother positive address recently all.
106,500,414,48,2025-02-15,Wrong item,Approved,841.85,Jesse Nelson,Station television something.
107,1233,131,13,2025-08-05,Wrong item,Pending,1602.98,Jesse Kennedy,Seat single fear age job without.
108,51,429,3,2025-12-21,Defective product,Approved,529.47,James Berry,Food hard listen star.
109,689,341,18,2026-02-09,Customer changed mind,Rejected,2396.51,Karl Parker,Half job century bit rate stay conference.
110,1389,150,89,2024-10-19,Wrong item,Rejected,2929.82,Cindy Mack,Tend series world free pattern.
111,1258,91,85,2025-04-24,Wrong item,Approved,260.58,Steven Vargas,News dinner real property.
112,472,414,10,2026-07-17,Defective product,Rejected,1222.79,Kathryn Cannon,Especially east person pick event born name always.
113,1393,247,61,2025-06-24,Defective product,Pending,4272.49,Francisco Bell,Collection hair commercial benefit say.
114,34,54,75,2026-02-03,Customer changed mind,Approved,749.55,Rachel Franklin DDS,But put should air result.
115,1134,210,48,2024-09-16,Wrong item,Pending,2237.12,Christine Cole,Matter us happy herself account blood.
116,214,116,56,2025-05-04,Defective product,Pending,2142.9,Arthur Reyes,Civil strong operation note.
117,16,182,47,2024-12-15,Customer changed mind,Pending,3367.57,Stephanie Williams,Soldier south fact it speech agent more man.
118,811,96,39,2026-03-14,Wrong item,Approved,4021.92,Manuel Nichols,Drug moment smile glass institution dark.
119,410,192,68,2026-07-21,Damaged product,Approved,4321.92,Andrew Petersen,Reality hair require world newspaper.
120,456,492,64,2026-05-06,Damaged product,Pending,2935.08,Pam Steele,Avoid claim him hot rest collection.
121,1069,45,58,2024-08-30,Damaged product,Approved,4730.82,David Spence,Head nice benefit.
122,786,243,27,2024-10-31,Defective product,Pending,4190.1,David Rogers,Wear scene scientist here about.
123,1495,106,37,2025-09-30,Customer changed mind,Pending,2980.06,Lori West,Certain response up hospital message exactly structure.
124,461,74,10,2025-04-18,Customer changed mind,Rejected,194.8,Jillian Castro,Store marriage keep business school go.
125,44,261,78,2026-07-08,Customer changed mind,Pending,4240.64,Jessica Stevens,Strong past piece.
126,568,461,26,2026-05-17,Customer changed mind,Approved,1023.16,Nicholas White,Choice which of conference.
127,1448,325,94,2024-10-31,Defective product,Approved,1236.1,Julia Contreras,Television most meet instead democratic teacher speak.
128,1031,297,56,2024-09-04,Customer changed mind,Pending,4775.11,Michelle Moody,Back couple past politics get resource drop.
129,413,362,61,2025-11-14,Defective product,Rejected,4845.34,Jessica Vega,Know author check.
130,434,351,81,2026-07-12,Damaged product,Rejected,1920.97,Jeff Simpson,Southern lawyer environmental memory.
131,1060,105,20,2025-06-21,Defective product,Pending,2698.82,Ashley Scott,Sound commercial probably enjoy.
132,865,446,84,2026-07-01,Customer changed mind,Approved,2970.85,Elizabeth Castro,Themselves paper us response investment protect.
133,386,141,60,2025-06-08,Wrong item,Pending,4656.36,Jennifer Campbell,Item itself every including improve.
134,686,321,6,2024-12-19,Damaged product,Pending,2369.23,Sally Espinoza,Human senior public financial few despite.
135,916,60,89,2024-11-12,Defective product,Rejected,4083.57,Christine Gonzales,College wide resource worry hotel.
136,207,466,17,2025-11-03,Customer changed mind,Approved,2354.78,Jessica Wong,Pull memory apply after station.
137,843,267,92,2025-09-30,Wrong item,Rejected,1673.66,Deborah Potter,Sense close friend career sure I.
138,1414,239,12,2024-11-30,Wrong item,Rejected,4396.1,Daniel Cross,Know year analysis the.
139,857,383,86,2025-08-26,Damaged product,Rejected,2975.4,Robert Barrera,Charge quickly blue lead soldier language couple.
140,627,149,62,2025-12-11,Defective product,Approved,861.51,Vanessa Benitez,Current edge positive provide professional thank.
141,248,226,26,2024-12-15,Defective product,Rejected,2308.11,Joshua Price,Owner serve way different offer.
142,745,98,60,2026-04-18,Damaged product,Approved,4170.22,Edwin Cooper,Enjoy suffer main speech.
143,973,30,7,2025-10-19,Damaged product,Pending,2910.94,Marvin Miller,Full remain election size push difference read message.
144,224,398,60,2024-12-18,Customer changed mind,Rejected,4666.67,Kevin Bailey,Smile travel nature maybe week listen.
145,1261,24,84,2025-12-09,Damaged product,Approved,4971.85,Catherine Patterson,Establish poor prove road school now unit.
146,95,45,51,2026-04-04,Defective product,Rejected,606.96,Amanda Collier PhD,Already experience two concern defense own personal.
147,253,390,42,2026-03-26,Customer changed mind,Pending,4400.99,Wendy Dougherty MD,Include sign feel medical threat.
148,1464,331,71,2026-01-12,Defective product,Approved,2747.03,Marilyn Young,Time turn civil simple just mother admit recent.
149,25,185,80,2024-11-16,Wrong item,Rejected,4474.9,Valerie Bush,Red market cut word two play machine.
150,1495,356,58,2025-07-30,Customer changed mind,Pending,3618.29,Mark Chapman,Job record crime rise theory partner standard over.
151,60,73,91,2025-05-07,Customer changed mind,Pending,4808.5,Alexander Tran,Next age food place onto hotel.
152,899,367,100,2025-07-14,Wrong item,Approved,1488.64,Erin Miles,Contain per season total.
153,550,75,39,2025-10-27,Wrong item,Approved,4639.32,Christopher Wong,Quality real week draw.
154,614,171,94,2024-12-23,Defective product,Pending,4834.56,Jeff Greene,Usually say walk tell include husband generation.
155,937,473,100,2026-03-24,Customer changed mind,Rejected,3739.72,Michelle Ruiz,Operation send test read anyone address project.
156,27,9,76,2026-07-12,Wrong item,Rejected,1386.75,James Carroll,Represent force list fire day necessary.
157,197,342,77,2025-12-11,Defective product,Approved,189.64,Joel Dawson,Half receive pick them participant.
158,1062,122,22,2026-01-05,Defective product,Approved,4374.01,Jennifer Lee,Risk meeting another wind on.
159,421,291,100,2025-05-22,Customer changed mind,Approved,3755.15,Julie Hodge,Bad scientist include.
160,518,223,36,2026-04-22,Defective product,Rejected,4783.02,Philip Fuller,Deep affect if poor public model public.
161,182,440,97,2026-01-01,Wrong item,Pending,290.78,Lori Rangel,Crime gas suddenly life pattern decision military.
162,1482,346,51,2025-09-07,Damaged product,Rejected,148.92,Jessica Gonzalez,Tree trouble nearly visit support garden.
163,700,292,42,2026-05-23,Wrong item,Pending,4096.37,Brenda Johnson,Despite third yet finally.
164,1253,492,29,2025-05-31,Wrong item,Approved,378.99,Teresa Miller,Major history raise he.
165,1198,217,47,2025-09-05,Wrong item,Pending,3146.51,Jane Ayers,Impact smile item building other sit.
166,845,172,65,2025-12-22,Damaged product,Approved,1662.48,Jacob Reeves,Dream give woman painting.
167,699,95,98,2026-01-23,Defective product,Approved,3819.65,Brandon Owens,Sign president none serve player address sound.
168,957,47,67,2025-08-12,Damaged product,Pending,1716.01,Mary Strong,Sure actually some today southern tell.
169,765,409,78,2025-12-17,Defective product,Approved,790.87,Kaitlin Moore,Player whether mother house.
170,1370,96,59,2026-01-23,Wrong item,Approved,569.75,Mr. Samuel Smith MD,Hear save fine guess.
171,1193,151,47,2026-06-29,Customer changed mind,Approved,738.36,Amanda Raymond,Nature feel election return management camera quality.
172,49,441,55,2026-06-14,Customer changed mind,Approved,2771.31,Lauren Adams,Certain life spend western entire.
173,464,69,40,2026-05-06,Damaged product,Rejected,2576.03,Donald Adams,Car road born suddenly effort us.
174,916,275,40,2025-05-12,Defective product,Approved,1665.38,Timothy Wilson,Big magazine pick hospital.
175,1366,149,94,2026-04-29,Wrong item,Approved,2983.39,Andrea Smith,Place north whatever camera.
176,1322,48,39,2025-04-06,Wrong item,Approved,4696.95,Jimmy Williams,Evidence though relate indeed office door.
177,123,206,52,2025-04-15,Defective product,Rejected,2590.3,Theresa Friedman,Agent imagine ten shake recognize.
178,1110,27,11,2024-09-10,Damaged product,Rejected,4865.71,Zachary Rios,Tv begin several series office evening majority.
179,357,318,50,2024-09-22,Damaged product,Approved,1471.28,Aaron Macias,Well their general rather charge.
180,819,247,28,2025-09-05,Wrong item,Approved,4583.1,Rachel Norton,Early population reason own.
181,1172,166,31,2025-04-16,Damaged product,Pending,4190.62,Stephanie Bender,Hot spring factor relate walk air politics.
182,620,32,78,2026-04-22,Defective product,Pending,2770.34,Stephanie Waters,Yourself bed give measure.
183,229,55,4,2025-10-29,Customer changed mind,Approved,1072.83,Mrs. Donna Fisher,Provide black contain house page fact point.
184,105,238,25,2025-05-13,Wrong item,Rejected,554.1,Michelle Rivera,Edge word however brother fill point heavy style.
185,1068,427,26,2025-03-27,Wrong item,Approved,3888.4,Lori Moore,Agree to power at daughter.
186,1498,41,52,2024-09-29,Damaged product,Rejected,403.85,Samuel Brown,Whether former growth force market.
187,1255,450,40,2025-05-02,Wrong item,Approved,901.93,Alyssa May,Choice mean term relate.
188,1112,476,37,2025-03-07,Wrong item,Pending,4804.02,Dominique Sanchez,Develop spring sport tend whom behavior rather.
189,849,266,92,2026-02-05,Customer changed mind,Rejected,2214.72,Nicholas Fox,Language notice way put any population.
190,796,7,24,2026-03-31,Damaged product,Rejected,1928.58,Anthony Richardson,Sort first particular.
191,1212,395,19,2026-03-13,Damaged product,Approved,1960.51,Kayla Parker,Special thousand hospital daughter.
192,577,484,18,2024-11-15,Damaged product,Rejected,3517.09,Jonathan Cline,He board finally exist program wait only.
193,794,8,81,2024-10-01,Wrong item,Approved,2791.28,Lynn Gordon,Heart before cup woman room class.
194,1385,28,65,2026-05-03,Defective product,Rejected,4551.93,Travis Sullivan,Some region first author exactly.
195,820,21,12,2025-08-25,Wrong item,Pending,954.73,Kelly Barker,Option policy us drug.
196,1036,97,6,2026-03-08,Defective product,Rejected,3148.29,Holly Swanson,Choice national table issue.
197,1020,387,25,2025-09-12,Damaged product,Approved,3372.89,Evelyn Moses,Spend tell though upon kid hospital course.
198,434,149,22,2024-12-13,Damaged product,Approved,1065.41,Julie Harrison,Leader close laugh range week green game.
199,612,233,76,2026-02-08,Defective product,Pending,3561.85,Manuel Hebert,Require reduce majority shake then.
200,638,182,100,2025-11-30,Defective product,Rejected,2211.38,Gregory Sandoval,Stay marriage save message technology stock soldier then.
201,1225,234,49,2026-01-31,Defective product,Pending,4553.42,Bryan York,Position court dark over again.
202,1288,140,81,2026-06-27,Damaged product,Rejected,2981.3,Jacob Bryant,Exactly religious name article.
203,567,487,1,2026-05-17,Defective product,Approved,2201.83,Jacqueline Thompson,Tv remember modern shoulder remain discussion several produce.
204,414,227,5,2025-02-01,Defective product,Pending,2472.81,Ashley Watkins,The and whole he professor.
205,1305,415,1,2025-03-10,Customer changed mind,Rejected,3609.62,Sarah Espinoza,Would well explain role change.
206,807,188,87,2025-09-02,Defective product,Pending,4547.77,Ryan Carter,Region his do ability majority.
207,1396,112,39,2025-03-07,Customer changed mind,Pending,539.18,Brian Kramer,Exactly country glass.
208,447,354,25,2024-09-20,Defective product,Rejected,4293.16,Sonya Robbins,Small identify memory them very.
209,634,452,80,2026-04-21,Defective product,Pending,217.64,Tanya Golden,Point of help stage.
210,221,199,71,2025-01-24,Wrong item,Rejected,1025.73,Samuel Flores,Population black whatever election behavior senior recently.
211,605,100,90,2025-04-12,Customer changed mind,Approved,858.48,Melissa Hudson,Front do assume able policy seven.
212,903,460,43,2025-11-03,Damaged product,Pending,3344.67,John Mcmahon,Natural today fact certainly receive type.
213,181,474,89,2025-09-18,Defective product,Pending,3699.07,John Jackson,Various surface medical gun this too specific.
214,398,449,72,2025-09-19,Damaged product,Pending,2050.94,Stephen Jimenez,Point spring art former onto.
215,419,202,54,2026-01-16,Damaged product,Approved,4113.96,Stanley Lopez,Rise either reflect least spend certain.
216,332,255,98,2025-07-13,Defective product,Approved,1621.24,Ryan Powell,Increase toward federal lay.
217,840,159,97,2025-12-14,Customer changed mind,Pending,1851.38,Alexander Curtis,Response against half real activity.
218,346,403,79,2024-11-05,Customer changed mind,Pending,4826.49,Ashley Mitchell,Business special push indeed.
219,403,395,63,2024-11-30,Customer changed mind,Rejected,4772.96,Ms. Mary Lawson,Take energy start number glass pick data available.
220,562,175,70,2025-10-02,Damaged product,Rejected,1166.78,William Torres,Interest six suddenly begin middle gas.
221,93,338,28,2025-08-11,Damaged product,Pending,216.08,Timothy White,Others two tell.
222,1421,181,23,2026-04-11,Wrong item,Pending,1396.45,Patricia Reyes,How guess quite perhaps card perhaps the.
223,216,492,34,2026-07-26,Damaged product,Approved,948.18,Jody Webb,People information history late least couple.
224,832,480,19,2024-11-01,Damaged product,Approved,3900.0,Debbie Miller,State without either owner force now.
225,64,290,82,2025-07-22,Damaged product,Approved,2724.77,Elizabeth Olson,Night pay second weight social voice movie prove.
226,1413,192,17,2025-11-12,Wrong item,Rejected,3600.54,Joseph Boyd,Others cover hundred.
227,1494,484,87,2026-07-16,Damaged product,Approved,1739.36,Kimberly Norton,Offer difference series upon soldier machine guy.
228,1323,415,68,2026-03-30,Defective product,Rejected,4209.04,Maxwell Martinez,Number politics instead Congress smile position dinner.
229,283,42,17,2026-05-09,Wrong item,Rejected,2690.62,Jill Valdez,House Mr other method realize figure such.
230,1272,487,69,2025-12-27,Damaged product,Approved,4658.09,Lisa Garza MD,Model today look soldier recognize.
231,1105,2,48,2024-10-25,Damaged product,Rejected,1468.0,Shane Hamilton,Parent education theory city ability.
232,255,41,53,2026-06-18,Customer changed mind,Rejected,4715.55,Reginald Ryan,Able chair air.
233,306,470,73,2025-11-14,Customer changed mind,Pending,1731.52,Dustin Alvarado,Phone sing pressure PM head understand population spend.
234,1418,364,80,2025-09-26,Wrong item,Approved,1665.82,Donald Taylor,Generation effort report their.
235,575,132,28,2024-10-10,Damaged product,Rejected,2353.31,Victoria Perez,Improve animal head much.
236,512,156,87,2025-02-12,Damaged product,Pending,3353.93,Christopher Sherman,Of human anything little along including force.
237,546,138,99,2024-12-16,Damaged product,Approved,2022.46,Karen Jackson,Bag his still bank too life.
238,366,216,94,2024-10-24,Defective product,Approved,4410.93,Ashley Stewart,Top no four beat support reflect line president.
239,735,363,63,2025-08-09,Customer changed mind,Pending,2815.07,Sharon Jones,Hundred dog learn water newspaper.
240,441,168,29,2025-02-12,Damaged product,Rejected,3746.23,Brett Dickson,Camera Democrat society whom week.
241,248,21,45,2026-06-19,Wrong item,Pending,4034.54,Dawn Oconnor,Likely effort produce fight drug military final.
242,808,396,80,2025-12-19,Defective product,Pending,400.66,Susan Cooper,Republican myself fact watch television feel phone.
243,1154,431,27,2025-10-23,Defective product,Rejected,2323.9,David Tran,How material beautiful put capital.
244,476,315,33,2025-05-22,Customer changed mind,Pending,1114.36,Daniel Montoya,Door best about like lead it.
245,1484,409,30,2025-06-14,Damaged product,Rejected,3938.74,James Jacobs,Director example budget product.
246,851,464,88,2024-09-03,Damaged product,Pending,3599.29,Maria Mckay,Reveal old generation.
247,1313,159,8,2025-09-29,Customer changed mind,Approved,770.97,Jonathan Graham,Individual poor summer hear visit.
248,1440,228,86,2026-03-13,Customer changed mind,Rejected,4676.12,Samuel Collins,Point serve democratic senior sound know.
249,468,186,10,2026-05-23,Wrong item,Rejected,2872.85,Rebecca Scott,Gun health product.
250,167,189,66,2026-05-08,Customer changed mind,Rejected,66.54,Jason Villegas,Social live break say.
251,888,198,31,2026-04-04,Damaged product,Pending,4621.94,Matthew Johnson,Mind discussion medical manager hospital plan.
252,628,346,64,2024-10-08,Damaged product,Pending,1582.04,Amy Morgan,Yeah toward model father.
253,1411,373,25,2024-12-20,Defective product,Pending,4656.11,Melissa Greene,Party woman realize let.
254,488,275,8,2024-10-12,Defective product,Rejected,1012.4,Jill Dean,Education without east way democratic approach daughter indeed.
255,141,387,39,2025-04-20,Damaged product,Pending,1823.56,Mike Gallagher,Something rule bring participant some.
256,449,374,44,2025-05-24,Wrong item,Approved,1359.26,Michael Arnold,Including large center key new here.
257,1227,407,72,2024-11-30,Wrong item,Approved,4656.39,Leroy Ford,Seat a five coach newspaper executive.
258,1427,409,66,2024-08-18,Customer changed mind,Approved,1532.58,Meghan Medina,After hospital film maintain white teacher behavior.
259,209,454,56,2025-02-23,Customer changed mind,Pending,3405.86,Aaron Orozco,Reality yes remember with manager husband keep.
260,226,417,39,2026-06-03,Wrong item,Approved,4899.52,Tamara Wilson,Throw actually cost describe most can social.
261,928,50,13,2025-01-07,Defective product,Approved,1286.94,Jacob Johnson,Serve we cell decade red.
262,1371,164,2,2025-03-26,Defective product,Approved,4838.91,Selena Lee,Develop certain mind rich work always.
263,601,149,24,2026-03-16,Customer changed mind,Rejected,2891.87,Kenneth Graham,Including believe very wrong debate specific five.
264,536,228,47,2025-05-25,Customer changed mind,Pending,2245.63,Melinda Johnson,Son operation when stay.
265,350,22,49,2026-07-30,Customer changed mind,Pending,962.29,Charles Fowler,Cultural some trip upon phone.
266,314,388,18,2025-12-01,Defective product,Rejected,4446.63,Kaitlyn Farmer,Already red he fish.
267,724,83,100,2024-11-03,Wrong item,Approved,4117.09,Katherine Huang,Business decision alone meet fill.
268,657,450,84,2024-09-11,Customer changed mind,Approved,2366.26,Anna Castillo,Imagine see heart team.
269,778,53,53,2026-07-01,Damaged product,Pending,1634.74,Mary Scott,Sometimes health on doctor receive.
270,248,451,97,2026-06-23,Customer changed mind,Rejected,4468.97,Christopher Ruiz,Position better present answer edge daughter among.
271,845,53,55,2025-03-29,Wrong item,Rejected,4639.2,Sarah Craig,Better assume month smile or never to.
